LPS|GNFR|E-PRTR/PRTR Facility ID|Height class|Longitude (deg)|Latitude (deg)|NOx (as NO2) (kt)|NMVOC (kt)|SOx (as SO2) (kt)|NH3 (kt)|PM2.5 (kt)|PM10 (kt)|CO (kt)|Pb (t)|Cd (t)|Hg (t)|PCDD/ PCDF (dioxins/ furans)(g I-Teq)|PAHs (t)|HCB (kg)|PCBs (kg)
Legehennenanlage Koppatz|K_AgriLivestock|12-40710590000|1|14,4464515202185|51,6949805902185||||0,0152||||||||||
"Legehennenanlage Radeburg ""Waldrose"""|K_AgriLivestock|14-72-50976002542|1|13,7313122409936|51,2429678094454||||0,0255||||||||||
Legehennenanlage Roggosen|K_AgriLivestock|12-40710200000|1|14,4496849274135|51,7146871829699||||0,0324||0,0642||||||||
Legehennenanlage Wittenburg|K_AgriLivestock|13-40-1354147|1|11,0684891844055|53,5010047012577||||0,0432||||||||||
Legehennenhaltung Grambow|K_AgriLivestock|13-40-1358091|1|11,2803454083958|53,6077284959948||||0,0807||||||||||
Legehennenhaltung LSL Rhein-Main|K_AgriLivestock|06-00021830533|1|8,12579385348976|50,469571632873||||0,0158||||||||||
Legehennenstallanlage  Gut Falkenhain|K_AgriLivestock|16-76-00200160000|1|12,2966689498932|51,0697897010603||||0,0448||||||||||
Leicoma PIG-Zucht GmbH Polkenberg, SZA Göritz|K_AgriLivestock|14-65-58268060000|1|12,9387749999449|51,1868502250048||||0,0132||||||||||
Leipa Georg Leinfelder GmbH|B_Industry|06-09-185-0458-0001|2|11,2624019316557|48,5567059585958|0,103||0,214|||||||||||
Leisink Schweinehaltung GmbH|K_AgriLivestock|16-82-75294900001|1|10,9308178995551|51,3442892309711||||0,0322||||||||||
Leisink Schweinehaltung GmbH|K_AgriLivestock|16-85-70129080000|1|11,914569646171|50,4989529667153||||0,016||||||||||
Lemmermöhle, Heiner|K_AgriLivestock|03-91-45900101110|1|7,93944606824316|52,5138307321207||||0,0104||||||||||
Letschiner Putenmast GmbH & Co. KG|K_AgriLivestock|12-30640680000|1|14,3424967233463|52,6313008877265||||0,0193||||||||||
Leurs, Tobias Margarethenhof|K_AgriLivestock|06-05-358-0321266|1|6,67431753902873|50,8042211236328||||0,0144||||||||||
Liapor GmbH & Co. KG|B_Industry|06-09-474-0021-0001|2|11,024535543794|49,7695192354514|0,137|||||||||||||
Liemershof GmbH & Co. KG|K_AgriLivestock|18162|1|10,9971315727684|52,0972831448336||||0,0381||||||||||
Limbeck GbR Gerd|K_AgriLivestock|03-88-45600304790|1|7,19947651085844|52,3574068844506||||0,0103||||||||||
Linde Gas Produktionsgesellschaft mbH & Co. KG|B_Industry|14636|1|12,0020985966455|51,3225998549383||||||||||||||
Linde Gas Produktionsgesellschaft mbH & Co. KG / TOTAL|B_Industry|18243|1|11,9958175443405|51,2901100291085|||||||0,736|||||||
Linde Material Handling GmbH, Werk IV|B_Industry|06-09-676-0020-0001|2|9,21952679699917|49,6769710011015||||||||||||||
Loher Landei GmbH & Co KG|K_AgriLivestock|03-92-46000094750|1|8,23905979028276|52,7619551942587||||0,0277||||||||||
Loose, Matthias|K_AgriLivestock|06-05-566-9970089|1|7,52556076952671|52,2943662660215||||0,0103||||||||||
Louis Dreyfus Company  Wittenberg GmbH|B_Industry|15317|1|12,576918876237|51,871126749952||0,428||||||||||||
Lubmin Oils GmbH|B_Industry|13-60-80153|1|13,6586443424981|54,1387984495436||0,105||||||||||||
Ludwig Wührer|K_AgriLivestock|06-09-279-4000-0001|1|12,6802356645438|48,5458379361895||||0,0155||||||||||
Luitpoldhütte GmbH|B_Industry|06-09-361-0003-0001|2|11,8384187458384|49,4632300295192||||||||||||||
Lügering GbR|K_AgriLivestock|03-88-45602529640|1|7,16522115095759|52,5275647727836||||0,014||||||||||
M+S Farmbetriebe GmbH gr. Schürmann, Dirk|K_AgriLivestock|03-85-45300829700|1|8,11399182860813|52,9298644419424||||0,0116||||||||||
M. & S. Farmbetriebe GmbH|K_AgriLivestock|03-92-46000755700|1|8,04416853394001|52,5448140018828||||0,0127||||||||||
M. Busch GmbH & Co KG|B_Industry|06-05-900-0083587|2|8,33804978881138|51,3532159947869||||||||||||||
MAN Energy Solutions SE|B_Industry|06-09-761-0034-0001|2|10,8982696016807|48,381583712217||0,152||||||||||||
MAN Truck & Bus AG Werk München|E_Solvents|06-09-162-0208-0001|1|11,475049264485|48,218564085822||0,174||||||||||||
MET Brutei KG|K_AgriLivestock|14-65-65001222222|1|13,1013235860562|51,2092521344193||||0,0505||||||||||
MEYER WERFT GmbH & Co. KG|E_Solvents|03-04-04247360320|1|7,36169779807283|53,0975275264707|0,17|0,104||||||||||||
MHB Hamm Betriebsführungsgesell schaft mbH|J_Waste|06-05-900-0302988|2|7,74479304914708|51,6800564497572|0,171|||||||||||||
MHKW Coburg|J_Waste|06-09-400-1434-0001|2|10,9548687286942|50,2852883741028||||||||||||||
MHKW/HKW Nordweststadt|J_Waste|06-00004010412|2|8,63537372343064|50,1615459078432|0,37|||0,0107||||||||||
MIBRAG Deuben|A_PublicPower|18039|5|12,0767791499131|51,1120671473592|0,575||0,848|||||||0,0295||||
MIBRAG Wählitz|A_PublicPower|18040|5|12,0763996501378|51,1663262199263|||0,231|||||||0,0105||||
MIRO-Mineralölraffinerie Oberrhein GmbH & Co.KG|B_Industry|06-08-2719371|4|8,32904999188603|49,0578092936465|1,49|0,355|1,93|||0,073||||||||
MIRO-Mineralölraffinerie Oberrhein GmbH & Co.KG|B_Industry|06-08-2719398|4|8,34639162171066|49,0568383296031|0,724|0,25|1,03|||||||||||
MKW Weißenhorn|J_Waste|06-09-700-0201-0001|2|10,1339077719878|48,298927775589||||||||||||||
MSP Müller Spot Plating GmbH|B_Industry|06-08-25012653|1|8,59643738197313|48,9637003230423||||||||||||||
